input,output,name,grade
latex2nemeth: 79v\superscript-b 3 \superscript-e + 91v\superscript-b 2 \superscript-e + -72v + 99,⠇⠩⠼⠶⠔⠧⠘⠒⠐⠬⠼⠔⠂⠧⠘⠆⠐⠬⠤⠼⠶⠆⠧⠬⠼⠔⠔⠇⠱,Cubic Equation,High
latex2nemeth: (k + 5)(k + 2) = 0,⠇⠩⠷⠅⠬⠼⠢⠾⠷⠅⠬⠼⠆⠾⠨⠨⠼⠴⠇⠱,Quadratic Factored Form,High
latex2nemeth: \xi,⠇⠩⠨⠭⠇⠱,Greek Letters,Middle
latex2nemeth: 4 + 40 + 48 + 60,⠇⠩⠼⠲⠬⠼⠲⠴⠬⠼⠲⠦⠬⠼⠖⠴⠇⠱,Addition Integers,Elementary
latex2nemeth: \sqrtib {42} \sqrtie \sqrt-b 60 \sqrt-e,⠇⠩⠣⠲⠆⠼⠖⠴⠻⠇⠱,Cube Root,Middle
latex2nemeth: 7y + 8y = 4,⠇⠩⠼⠶⠽⠬⠼⠦⠽⠨⠨⠼⠲⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: \frac-b 10 \frac-separator 7 \frac-e + \frac-b 5 \frac-separator 3 \frac-e + \frac-b 1 \frac-separator 6 \frac-e + \frac-b 1 \frac-separator 1 \frac-e,⠇⠩⠹⠂⠴⠌⠶⠼⠬⠹⠢⠌⠒⠼⠬⠹⠂⠌⠖⠼⠬⠹⠂⠌⠂⠼⠇⠱,Addition Fractions,Middle
latex2nemeth: 96 - 93 - 29 - 29,⠇⠩⠼⠔⠖⠤⠼⠔⠒⠤⠼⠆⠔⠤⠼⠆⠔⠇⠱,Subtraction Integers,Elementary
latex2nemeth: -3w\superscript-b 3 \superscript-e + 0w\superscript-b 2 \superscript-e + -2w + -4 = 0,⠇⠩⠤⠼⠒⠺⠘⠒⠐⠬⠼⠴⠺⠘⠆⠐⠬⠤⠼⠆⠺⠬⠤⠼⠲⠨⠨⠼⠴⠇⠱,Cubic Expanded,High
"latex2nemeth: \int\subscript-b 2 \superscript-b 8 \superscript-e e\superscript-b x \superscript-e \, dz",⠇⠩⠮⠰⠆⠘⠦⠐⠑⠘⠭⠐⠙⠵⠇⠱,Definite Integral,High
latex2nemeth: e \times m \times F \times Q,⠇⠩⠑⠈⠡⠍⠈⠡⠠⠋⠈⠡⠠⠟⠇⠱,Multiplication Variables,Middle
latex2nemeth: 8 \div 2 \div 9 \div 9,⠇⠩⠼⠦⠨⠌⠼⠆⠨⠌⠼⠔⠨⠌⠼⠔⠇⠱,Division Integers,Elementary
latex2nemeth: 10z + 7z = 29,⠇⠩⠼⠂⠴⠵⠬⠼⠶⠵⠨⠨⠼⠆⠔⠇⠱,Linear Equation Mult Vars,Middle
latex2nemeth: C \subseteq Y,⠇⠩⠠⠉ ⠸⠐⠅⠱ ⠠⠽⠇⠱,Set Notation,Middle
latex2nemeth: 6164 \div 67,⠇⠩⠼⠖⠂⠖⠲⠨⠌⠼⠖⠶⠇⠱,Division,Elementary
latex2nemeth: 4.68 \div 1.16 \div 8.98 \div 3.14,⠇⠩⠼⠲⠨⠖⠦⠨⠌⠼⠂⠨⠂⠖⠨⠌⠼⠦⠨⠔⠦⠨⠌⠼⠒⠨⠂⠲⠇⠱,Multi-Term Division Decimals,Elementary
latex2nemeth: \frac-b G + 3 \frac-separator 7 \frac-e < 11,⠇⠩⠹⠠⠛⠬⠒⠌⠶⠼ ⠐⠅ ⠂⠂⠇⠱,Fraction Inequality,High
